time_0,x_0,y_0,time_1,x_1,y_1,time_2,x_2,y_2,time_3,x_3,y_3,time_4,x_4,y_4,time_5,x_5,y_5,time_6,x_6,y_6
1.270000000000000000e+02,6.674999999999999822e-01,2.025000000000000133e-01,1.270000000000000000e+02,3.624999999999999889e-01,2.974999999999999867e-01,1.270000000000000000e+02,3.975000000000000200e-01,3.325000000000000178e-01,1.270000000000000000e+02,6.875000000000000000e-01,6.125000000000000444e-01,1.270000000000000000e+02,3.574999999999999845e-01,1.250000000000000069e-02,1.270000000000000000e+02,6.424999999999999600e-01,5.775000000000000133e-01,1.270000000000000000e+02,2.924999999999999822e-01,2.275000000000000078e-01
1.280000000000000000e+02,6.674999999999999822e-01,2.074999999999999900e-01,1.280000000000000000e+02,3.624999999999999889e-01,3.024999999999999911e-01,1.280000000000000000e+02,3.925000000000000155e-01,3.325000000000000178e-01,1.280000000000000000e+02,6.875000000000000000e-01,6.175000000000000488e-01,1.280000000000000000e+02,3.524999999999999800e-01,1.250000000000000069e-02,1.280000000000000000e+02,6.424999999999999600e-01,5.825000000000000178e-01,1.280000000000000000e+02,2.924999999999999822e-01,2.325000000000000122e-01
1.290000000000000000e+02,6.674999999999999822e-01,2.124999999999999944e-01,1.290000000000000000e+02,3.624999999999999889e-01,3.074999999999999956e-01,1.290000000000000000e+02,3.875000000000000111e-01,3.325000000000000178e-01,1.290000000000000000e+02,6.875000000000000000e-01,6.225000000000000533e-01,1.290000000000000000e+02,3.474999999999999756e-01,1.250000000000000069e-02,1.290000000000000000e+02,6.424999999999999600e-01,5.875000000000000222e-01,1.290000000000000000e+02,2.924999999999999822e-01,2.374999999999999889e-01
1.300000000000000000e+02,6.674999999999999822e-01,2.174999999999999989e-01,1.300000000000000000e+02,3.624999999999999889e-01,3.125000000000000000e-01,1.300000000000000000e+02,3.875000000000000111e-01,3.375000000000000222e-01,1.300000000000000000e+02,6.875000000000000000e-01,6.274999999999999467e-01,1.300000000000000000e+02,3.425000000000000266e-01,1.250000000000000069e-02,1.300000000000000000e+02,6.424999999999999600e-01,5.925000000000000266e-01,1.300000000000000000e+02,2.924999999999999822e-01,2.424999999999999933e-01
1.310000000000000000e+02,6.674999999999999822e-01,2.225000000000000033e-01,1.310000000000000000e+02,3.624999999999999889e-01,3.175000000000000044e-01,1.310000000000000000e+02,3.825000000000000067e-01,3.375000000000000222e-01,1.310000000000000000e+02,6.875000000000000000e-01,6.324999999999999512e-01,1.310000000000000000e+02,3.375000000000000222e-01,1.250000000000000069e-02,1.310000000000000000e+02,6.424999999999999600e-01,5.975000000000000311e-01,1.310000000000000000e+02,2.924999999999999822e-01,2.474999999999999978e-01
1.320000000000000000e+02,6.674999999999999822e-01,2.275000000000000078e-01,1.320000000000000000e+02,3.574999999999999845e-01,3.175000000000000044e-01,1.320000000000000000e+02,3.825000000000000067e-01,3.425000000000000266e-01,1.320000000000000000e+02,6.875000000000000000e-01,6.374999999999999556e-01,1.320000000000000000e+02,3.375000000000000222e-01,7.499999999999999722e-03,1.320000000000000000e+02,6.424999999999999600e-01,6.025000000000000355e-01,1.320000000000000000e+02,2.924999999999999822e-01,2.525000000000000022e-01
1.330000000000000000e+02,6.724999999999999867e-01,2.275000000000000078e-01,1.330000000000000000e+02,3.524999999999999800e-01,3.175000000000000044e-01,1.330000000000000000e+02,3.825000000000000067e-01,3.474999999999999756e-01,1.330000000000000000e+02,6.875000000000000000e-01,6.424999999999999600e-01,1.330000000000000000e+02,3.325000000000000178e-01,7.499999999999999722e-03,1.330000000000000000e+02,6.424999999999999600e-01,6.075000000000000400e-01,1.330000000000000000e+02,2.924999999999999822e-01,2.575000000000000067e-01
1.340000000000000000e+02,6.774999999999999911e-01,2.275000000000000078e-01,1.340000000000000000e+02,3.474999999999999756e-01,3.175000000000000044e-01,1.340000000000000000e+02,3.825000000000000067e-01,3.524999999999999800e-01,1.340000000000000000e+02,6.875000000000000000e-01,6.474999999999999645e-01,1.340000000000000000e+02,3.275000000000000133e-01,7.499999999999999722e-03,1.340000000000000000e+02,6.424999999999999600e-01,6.125000000000000444e-01,1.340000000000000000e+02,2.924999999999999822e-01,2.625000000000000111e-01
1.350000000000000000e+02,6.824999999999999956e-01,2.275000000000000078e-01,1.350000000000000000e+02,3.425000000000000266e-01,3.175000000000000044e-01,1.350000000000000000e+02,3.825000000000000067e-01,3.574999999999999845e-01,1.350000000000000000e+02,6.875000000000000000e-01,6.524999999999999689e-01,1.350000000000000000e+02,3.225000000000000089e-01,7.499999999999999722e-03,1.350000000000000000e+02,6.424999999999999600e-01,6.175000000000000488e-01,1.350000000000000000e+02,2.924999999999999822e-01,2.675000000000000155e-01
1.360000000000000000e+02,6.875000000000000000e-01,2.275000000000000078e-01,1.360000000000000000e+02,3.375000000000000222e-01,3.175000000000000044e-01,1.360000000000000000e+02,3.825000000000000067e-01,3.624999999999999889e-01,1.360000000000000000e+02,6.875000000000000000e-01,6.574999999999999734e-01,1.360000000000000000e+02,3.175000000000000044e-01,7.499999999999999722e-03,1.360000000000000000e+02,6.424999999999999600e-01,6.225000000000000533e-01,1.360000000000000000e+02,2.924999999999999822e-01,2.725000000000000200e-01
